ISO3,item_name,band_name,data_mean,data_mean_sem,unit,pixel_count,physical_area_km2
AFG,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
GBR,YAMS,agri_potential_carbon,6992.834822246105,0.0,mean tonnes carbon per km2,1.0,0.04300000190734863
ALB,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
DZA,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
USA,YAMS,agri_potential_carbon,13616.32191072845,364.46415473649057,mean tonnes carbon per km2,90.0,1.9890000015497205
ATA,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
ATG,YAMS,agri_potential_carbon,11675.402742407101,795.2446604836935,mean tonnes carbon per km2,6.0,0.31099999785423277
ARG,YAMS,agri_potential_carbon,11841.370157417416,1088.0478154878158,mean tonnes carbon per km2,3.0,0.032000000476837154
AND,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
AGO,YAMS,agri_potential_carbon,11401.994948546426,619.789885554977,mean tonnes carbon per km2,15.0,0.6419999945163727
ARM,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
NLD,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
AUS,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
AUT,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
AZE,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BHS,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BRB,YAMS,agri_potential_carbon,12599.24164576357,920.1643079785538,mean tonnes carbon per km2,6.0,0.4680000048875809
BLR,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BEL,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BLZ,YAMS,agri_potential_carbon,6846.547098457355,597.4402329831316,mean tonnes carbon per km2,27.0,0.06600000128149987
BTN,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BOL,YAMS,agri_potential_carbon,10833.683579376913,159.50891574304126,mean tonnes carbon per km2,2.0,0.003000000044703484
BIH,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BWA,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
NOR,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
COL,YAMS,agri_potential_carbon,8815.895725295502,498.417189649067,mean tonnes carbon per km2,622.0,331.4820003424585
COM,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BRA,YAMS,agri_potential_carbon,7444.333314815839,148.40287329546678,mean tonnes carbon per km2,35472.0,242.17600072778765
FRA,YAMS,agri_potential_carbon,9937.096569896967,713.9000072857391,mean tonnes carbon per km2,36.0,16.09299988389015
COD,YAMS,agri_potential_carbon,11725.936492121542,58.095423458228446,mean tonnes carbon per km2,10471.0,180.42400039173663
COG,YAMS,agri_potential_carbon,11316.372832062869,392.1202690879158,mean tonnes carbon per km2,598.0,12.87800001144409
NZL,YAMS,agri_potential_carbon,0.0,0.0,mean tonnes carbon per km2,2.0,1.38
BRN,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BGR,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
BFA,YAMS,agri_potential_carbon,5011.218808386017,91.48650966423196,mean tonnes carbon per km2,848.0,120.90299984641373
BDI,YAMS,agri_potential_carbon,10624.924221203566,377.81894534739376,mean tonnes carbon per km2,77.0,13.50399999909103
CPV,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
KHM,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
CMR,YAMS,agri_potential_carbon,10348.913756633647,350.2646477895173,mean tonnes carbon per km2,1591.0,254.1279999513924
CAN,YAMS,agri_potential_carbon,,,mean tonnes carbon per km2,,
CRI,YAMS,agri_potential_carbon,12755.258201254566,430.5211139027667,mean tonnes carbon per km2,95.0,20.90100003093481
